# Pathway	36-40-1B_Abundance
UNMAPPED	1168856.3215898271
UNINTEGRATED	3293921.9056000649
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	896384.4683744620
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	644273.3786418565
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	369106.3287759247
UNINTEGRATED|unclassified	296276.9566467048
UNINTEGRATED|g__Blautia.s__Blautia_obeum	128978.3105647157
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	102820.9263304331
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	102810.7048433977
UNINTEGRATED|g__Dialister.s__Dialister_invisus	55413.2899389423
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_clostridioforme	49228.5426926078
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	46962.0332214713
UNINTEGRATED|g__Blautia.s__Blautia_sp	38732.9145701389
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	36745.3462357566
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	28898.5910281498
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	26848.5535820305
UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_plautii	26812.2772308773
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	23488.3224900329
UNINTEGRATED|g__Eggerthella.s__Eggerthella_lenta	22982.8348850645
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bicirculans	22023.7957546756
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	19892.5646344495
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	19202.2240200248
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	17983.1364920716
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	15463.2595117270
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	13008.9143118307
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	11686.2692864912
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	9458.7089182263
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	8886.8375091665
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	8886.0433446543
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	7381.2922230336
UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_innocuum	6500.6202744753
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	4905.3742451432
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	4810.1651721282
UNINTEGRATED|g__Lawsonibacter.s__Lawsonibacter_asaccharolyticus	4468.9499695207
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_57_20	4451.7878454042
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	3888.7799965848
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_asparagiforme	3109.9857151019
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	3089.8984522355
UNINTEGRATED|g__Raoultella.s__Raoultella_ornithinolytica	2281.2564401545
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_52	2030.1731591329
UNINTEGRATED|g__Clostridiales_unclassified.s__Clostridiales_bacterium_1_7_47FAA	1811.2945416463
UNINTEGRATED|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	1779.2481465718
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_161	1668.2791419600
UNINTEGRATED|g__Absiella.s__Absiella_dolichum	1583.4350518960
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_aldenense	1267.2480018039
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_257	1229.9942610379
UNINTEGRATED|g__Streptococcus.s__Streptococcus_vestibularis	624.8947499258
PWY-1042: glycolysis IV	2452.3521634246
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_vulgatus	782.7201083479
PWY-1042: glycolysis IV|unclassified	419.1973536534
PWY-1042: glycolysis IV|g__Blautia.s__Ruminococcus_torques	102.2330482369
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_sp	63.8466949638
PWY-1042: glycolysis IV|g__Lachnoclostridium.s__Clostridium_clostridioforme	48.8285015738
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_wexlerae	27.1227571124
PWY-1042: glycolysis IV|g__Ruminococcus.s__Ruminococcus_bicirculans	24.3546649135
PWY-1042: glycolysis IV|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	17.1243238902
PWY-1042: glycolysis IV|g__Eubacterium.s__Eubacterium_eligens	15.1790559895
PWY-1042: glycolysis IV|g__Hungatella.s__Hungatella_hathewayi	10.9675355900
PWY-1042: glycolysis IV|g__Anaerostipes.s__Anaerostipes_hadrus	9.8882190241
PWY-1042: glycolysis IV|g__Eggerthella.s__Eggerthella_lenta	9.5343421874
PWY-1042: glycolysis IV|g__Streptococcus.s__Streptococcus_thermophilus	5.7340812903
PWY-1042: glycolysis IV|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	1.5952025533
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	2301.2511720990
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	869.7545496685
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	524.4414841040
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	244.2851872823
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	140.2171902677
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_obeum	135.7370386777
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_wexlerae	94.5420992989
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Ruminococcus_torques	61.5240805422
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnoclostridium.s__Clostridium_clostridioforme	37.8252943837
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_hallii	35.5220452746
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	33.4857326745
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	19.6965433000
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Gemmiger.s__Gemmiger_formicilis	17.2441395560
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eggerthella.s__Eggerthella_lenta	9.2150552137
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_eligens	8.8661044276
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_sp	7.9761550944
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	7.4607832830
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	7.1075452919
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Erysipelatoclostridium.s__Clostridium_innocuum	6.2241492472
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bilophila.s__Bilophila_wadsworthia	5.8513751056
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Parasutterella.s__Parasutterella_excrementihominis	4.5531628192
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_sp_CAG_52	3.1511184791
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnoclostridium.s__Clostridium_asparagiforme	2.0613595421
PWY-7221: guanosine ribonucleotides de novo biosynthesis	2116.3775434833
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	587.2686756582
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	429.0197066571
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	248.1801705249
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_wexlerae	178.3824118295
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	115.3797176725
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_torques	108.0311666909
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Dialister.s__Dialister_invisus	66.7801695437
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_sp	35.5828285651
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Lachnoclostridium.s__Clostridium_clostridioforme	33.1980547760
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_bicirculans	20.6078170550
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Asaccharobacter.s__Asaccharobacter_celatus	18.2152422032
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_eligens	14.2769214507
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eggerthella.s__Eggerthella_lenta	12.7442055462
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	9.9764576543
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_thermophilus	8.7459637582
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Hungatella.s__Hungatella_hathewayi	8.5191638715
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Erysipelatoclostridium.s__Clostridium_innocuum	7.4583179194
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bilophila.s__Bilophila_wadsworthia	4.8437945261
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Absiella.s__Absiella_dolichum	4.4443620059
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	3.2730355427
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_obeum	2.9128489091
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_sp_CAG_257	2.3525397371
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	1985.3696024477
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|unclassified	349.8767585436
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_wexlerae	194.8647049932
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_obeum	194.2314619854
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Bacteroides.s__Bacteroides_ovatus	172.6815039144
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Ruminococcus_torques	146.6018944964
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_sp	59.1110620718
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	55.1417141089
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Eubacterium.s__Eubacterium_hallii	51.3945429184
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	36.6573041911
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Lachnoclostridium.s__Clostridium_clostridioforme	29.0823261034
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Ruminococcus.s__Ruminococcus_bicirculans	26.2056163676
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	21.8532316985
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Gemmiger.s__Gemmiger_formicilis	19.0495521933
