# Pathway	31-8B_Abundance
UNMAPPED	860531.4643858102
UNINTEGRATED	1898317.9190939432
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	259350.2399938466
UNINTEGRATED|unclassified	186109.7010464420
UNINTEGRATED|g__Blautia.s__Blautia_obeum	152285.4813327231
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	132810.0321867768
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	113944.2747860163
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	95232.5994994328
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	90760.9133848084
UNINTEGRATED|g__Dialister.s__Dialister_invisus	73778.7656406197
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	62848.7469548427
UNINTEGRATED|g__Blautia.s__Blautia_sp	56459.5837609935
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	48465.1709705530
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	46472.5735150066
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	44968.7819417789
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	42986.8749099798
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	38442.8314133629
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	29235.5081030571
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	28199.5821287114
UNINTEGRATED|g__Eggerthella.s__Eggerthella_lenta	27190.3968037330
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	19837.7758778608
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_clostridioforme	17545.0545396670
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	16886.0515933600
UNINTEGRATED|g__Roseburia.s__Roseburia_faecis	16708.7480927006
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bicirculans	16476.0077741952
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	15254.4996742554
UNINTEGRATED|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	12757.0519727572
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	10730.2267502578
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	10567.3777161442
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	9537.1053296576
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	8815.4406391792
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	6895.0800792133
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	6801.9706213706
UNINTEGRATED|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans	6479.9368745382
UNINTEGRATED|g__Ruminococcaceae_unclassified.s__Clostridium_leptum	6282.9289207262
UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_innocuum	6165.4668273308
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_58	5122.9220139658
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_52	4866.3193605491
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	3669.8656865571
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	3146.3368005637
UNINTEGRATED|g__Lachnospira.s__Lachnospira_pectinoschiza	3067.3286182753
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_44_14	2782.6070673115
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_115	2599.3167956331
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	2170.0618840717
UNINTEGRATED|g__Roseburia.s__Roseburia_sp_CAG_182	2138.4961729669
UNINTEGRATED|g__Monoglobus.s__Monoglobus_pectinilyticus	2100.6243831967
UNINTEGRATED|g__Erysipelotrichaceae_unclassified.s__Erysipelotrichaceae_bacterium_3_1_53	1703.0083927580
UNINTEGRATED|g__Intestinibacter.s__Intestinibacter_bartlettii	1421.7230290528
PWY-7238: sucrose biosynthesis II	1838.0442544388
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_obeum	269.2129131246
PWY-7238: sucrose biosynthesis II|g__Dorea.s__Dorea_longicatena	230.2976669729
PWY-7238: sucrose biosynthesis II|unclassified	182.1487821764
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_wexlerae	163.9566661300
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Ruminococcus_torques	155.9760327071
PWY-7238: sucrose biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	121.2845334774
PWY-7238: sucrose biosynthesis II|g__Eubacterium.s__Eubacterium_hallii	94.9645787249
PWY-7238: sucrose biosynthesis II|g__Gemmiger.s__Gemmiger_formicilis	84.7183303994
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_sp	79.0697549587
