# Pathway	5-MDCOL055-Stool-1A-Baseline-BSB-2-4-1-2_Abundance
UNMAPPED	433428.3080046282
UNINTEGRATED	1478104.2441250838
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	432811.0600578972
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	357041.2479207793
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	295326.4708618790
UNINTEGRATED|unclassified	81080.1898408950
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	32983.4546051968
UNINTEGRATED|g__Blautia.s__Blautia_obeum	32166.0862307929
UNINTEGRATED|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	26191.0969555116
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	20308.1749664042
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	19846.4877943683
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_clostridioforme	19712.0865514107
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	17744.2867199854
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	17665.4122329292
UNINTEGRATED|g__Eggerthella.s__Eggerthella_lenta	11791.9207178111
UNINTEGRATED|g__Dialister.s__Dialister_invisus	10257.8998531555
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	9548.9244059373
UNINTEGRATED|g__Blautia.s__Blautia_sp	8713.6183918561
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	6990.2261914788
UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_innocuum	5196.3470573939
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_symbiosum	4699.6720166816
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	4692.3534107933
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	4555.4841096796
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	4310.9290544481
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	3741.0090774700
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	3717.8668023026
UNINTEGRATED|g__Roseburia.s__Roseburia_faecis	3684.5910485257
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	2799.4916353921
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	2258.0077699579
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_57_20	2108.7152985950
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	1830.0078207534
UNINTEGRATED|g__Clostridiales_unclassified.s__Clostridiales_bacterium_1_7_47FAA	1260.0156202093
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_52	607.3170703342
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	1070.6997681380
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	370.9607765588
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	308.1932999435
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	175.9460902246
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	40.7113253195
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	31.9845353988
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Ruminococcus_torques	23.1058867967
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_obeum	21.5302703589
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnoclostridium.s__Clostridium_clostridioforme	18.0418843781
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	14.3235981571
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_wexlerae	13.8592623215
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Gemmiger.s__Gemmiger_formicilis	9.3994870261
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Roseburia.s__Roseburia_faecis	5.5792439444
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_eligens	5.3572063164
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eggerthella.s__Eggerthella_lenta	5.1680626883
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_sp	3.5750957006
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_hallii	3.5208382582
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_sp_CAG_52	1.7525125555
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	834.3726014835
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_ovatus	202.9546814689
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	139.9211219132
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_uniformis	81.9393044310
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Blautia.s__Ruminococcus_torques	30.2442859568
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	17.1875050050
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Eggerthella.s__Eggerthella_lenta	7.4624020253
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Parasutterella.s__Parasutterella_excrementihominis	6.6187009214
PWY-1042: glycolysis IV	819.2714430451
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_vulgatus	262.0925819823
PWY-1042: glycolysis IV|unclassified	65.8670573585
PWY-1042: glycolysis IV|g__Blautia.s__Ruminococcus_torques	25.6553193528
PWY-1042: glycolysis IV|g__Lachnoclostridium.s__Clostridium_clostridioforme	19.9033174086
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_wexlerae	17.9391609410
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_sp	15.5818266797
PWY-1042: glycolysis IV|g__Eubacterium.s__Eubacterium_eligens	7.9678415117
PWY-5686: UMP biosynthesis I	807.6105302201
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	199.9032512482
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	161.7463105459
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	111.8743001827
PWY-5686: UMP biosynthesis I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	32.5054494617
PWY-5686: UMP biosynthesis I|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	29.2459005372
PWY-5686: UMP biosynthesis I|unclassified	28.9649620606
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_wexlerae	20.2658135371
PWY-5686: UMP biosynthesis I|g__Blautia.s__Ruminococcus_torques	19.3390058564
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_sp	11.7340160821
PWY-5686: UMP biosynthesis I|g__Lachnoclostridium.s__Clostridium_clostridioforme	11.5177224179
