# Pathway	36-40-1B_Abundance
UNMAPPED	2226584.0033708173
UNINTEGRATED	5256033.6287877355
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	1464008.7221734126
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	1058937.0189136220
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	585473.4976623737
UNINTEGRATED|unclassified	472998.1135298544
UNINTEGRATED|g__Blautia.s__Blautia_obeum	215378.4926968644
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	167572.5408382581
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	163230.4032992587
UNINTEGRATED|g__Dialister.s__Dialister_invisus	88596.0998925332
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_clostridioforme	80242.5203989805
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	76492.7671006823
UNINTEGRATED|g__Eggerthella.s__Eggerthella_lenta	75023.1427725098
UNINTEGRATED|g__Blautia.s__Blautia_sp	64986.8162306515
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	55409.5762642312
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	43573.2063463116
UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_plautii	42677.7871890338
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	41065.3948610544
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	36317.5478495133
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bicirculans	35544.5507527216
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	32109.5846203112
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	30844.1393056976
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	29299.8602448506
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	24009.0877020688
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	21506.2942329803
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	19096.8866710870
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	15154.7934254370
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	12544.6723978536
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	11637.0970928915
UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_innocuum	11529.6133934952
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	11151.1077603810
