# Pathway	52-MDCOL021-1b_Abundance
UNMAPPED	1091645.0271080378
UNINTEGRATED	3345408.3103205669
UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecalis	336005.7477979315
UNINTEGRATED|unclassified	289516.2908487468
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	260473.8166158576
UNINTEGRATED|g__Streptococcus.s__Streptococcus_pneumoniae	218528.1071142702
UNINTEGRATED|g__Streptococcus.s__Streptococcus_vestibularis	167554.2080889457
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	157273.6209319141
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_257	132703.5548862202
UNINTEGRATED|g__Blautia.s__Blautia_obeum	110273.9242309745
UNINTEGRATED|g__Streptococcus.s__Streptococcus_parasanguinis	107940.7249767245
UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecium	92914.0468485052
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	92107.9252995205
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	91846.7880312550
UNINTEGRATED|g__Blautia.s__Blautia_hydrogenotrophica	64381.7254942423
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	55236.3676838613
UNINTEGRATED|g__Blautia.s__Blautia_producta	39387.5487272342
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	27262.1221066144
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	24368.9935126831
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	22309.0456051527
UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_innocuum	22263.8487909578
UNINTEGRATED|g__Anaerococcus.s__Anaerococcus_vaginalis	22186.2561693663
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_caccae	19490.7038451155
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_rhamnosus	18867.3702103149
UNINTEGRATED|g__Erysipelatoclostridium.s__Erysipelatoclostridium_ramosum	17712.0350821189
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_casei_group	17616.7834381113
UNINTEGRATED|g__Eggerthella.s__Eggerthella_lenta	17389.7218798883
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_scindens	15928.0165596030
UNINTEGRATED|g__Dorea.s__Dorea_sp_CAG_317	14280.3011057841
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_gasseri	12909.3817859856
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	11894.6001264910
UNINTEGRATED|g__Finegoldia.s__Finegoldia_magna	11622.7430751208
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	10714.1156331728
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	10513.7547520987
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_2_1_46FAA	9160.6353418087
