# Pathway	31-8B_Abundance
UNMAPPED	1688070.4418868222
UNINTEGRATED	3094966.5620450699
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	434014.8771202617
UNINTEGRATED|unclassified	310778.2927209983
UNINTEGRATED|g__Blautia.s__Blautia_obeum	239302.6557240194
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	198140.1472000127
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	186485.5686040041
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	158114.7936034772
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	146392.4976090128
UNINTEGRATED|g__Dialister.s__Dialister_invisus	119724.4404514603
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	104377.0268114365
UNINTEGRATED|g__Blautia.s__Blautia_sp	94810.7478091674
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	78359.5344613926
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	77593.3436505668
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	74481.3429610145
UNINTEGRATED|g__Eggerthella.s__Eggerthella_lenta	69330.5785657622
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	63896.9014105651
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	61041.6027885454
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	50716.0221674990
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	48726.1880886569
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	35121.9441352698
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_clostridioforme	30747.4296914933
UNINTEGRATED|g__Roseburia.s__Roseburia_faecis	28378.4519601619
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	27891.6167165379
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bicirculans	25922.3401645798
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	25292.0919266613
UNINTEGRATED|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	22336.8741121371
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	16940.3684435383
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	16075.3925929113
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	15881.7377671855
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	13808.8479672714
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	11153.4913265628
UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_innocuum	10854.6963222063
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	10682.5786649269
UNINTEGRATED|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans	9524.1984242325
UNINTEGRATED|g__Ruminococcaceae_unclassified.s__Clostridium_leptum	9067.9453901088
UNINTEGRATED|g__Odoribacter.s__Odoribacter_splanchnicus	8644.4966858026
UNINTEGRATED|g__Lachnospira.s__Lachnospira_pectinoschiza	7846.2507546456
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_52	7619.3606974380
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	5584.6535294945
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	5520.6260497091
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_58	4720.3703357347
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_44_14	4549.5416989227
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_115	4340.7910039631
UNINTEGRATED|g__Monoglobus.s__Monoglobus_pectinilyticus	3353.5996316620
